"call_id","customer_id","startdatetime","enddatetime"
1417,CUST-000078,2025-11-18 09:16:00.000,2025-11-18 09:20:00.000
1206,CUST-003516,2025-11-18 09:22:00.000,2025-11-18 09:38:00.000
1404,CUST-001199,2025-11-18 09:29:00.000,2025-11-18 09:34:00.000
1080,CUST-000547,2025-11-18 09:35:00.000,2025-11-18 09:48:00.000
1559,CUST-003209,2025-11-18 09:38:00.000,2025-11-18 09:50:00.000
1213,CUST-004460,2025-11-18 09:39:00.000,2025-11-18 09:43:00.000
1562,CUST-000939,2025-11-18 09:41:00.000,2025-11-18 09:54:00.000
1384,CUST-001279,2025-11-18 09:55:37.000,2025-11-18 10:11:37.000
1313,CUST-005491,2025-11-18 10:01:00.000,2025-11-18 10:08:00.000
1179,CUST-004914,2025-11-18 10:13:00.000,2025-11-18 10:23:00.000
1301,CUST-004583,2025-11-18 10:14:43.000,2025-11-18 10:21:43.000
1747,CUST-003650,2025-11-18 10:17:27.000,2025-11-18 10:28:27.000
1911,CUST-003942,2025-11-18 10:17:31.000,2025-11-18 10:33:31.000
2912,CUST-003704,2025-11-18 10:17:36.000,2025-11-18 10:26:36.000
2672,CUST-003903,2025-11-18 10:17:49.000,2025-11-18 10:25:49.000
1935,CUST-003622,2025-11-18 10:17:59.000,2025-11-18 10:29:59.000
2643,CUST-003843,2025-11-18 10:18:03.000,2025-11-18 10:27:03.000
2266,CUST-003839,2025-11-18 10:18:08.000,2025-11-18 10:27:08.000
2151,CUST-003903,2025-11-18 10:18:17.000,2025-11-18 10:24:17.000
2725,CUST-003790,2025-11-18 10:18:25.000,2025-11-18 10:30:25.000
1972,CUST-003634,2025-11-18 10:18:26.000,2025-11-18 10:30:26.000
1672,CUST-003868,2025-11-18 10:18:33.000,2025-11-18 10:29:33.000
2172,CUST-003761,2025-11-18 10:18:36.000,2025-11-18 10:28:36.000
2575,CUST-003902,2025-11-18 10:18:54.000,2025-11-18 10:33:54.000
2926,CUST-003924,2025-11-18 10:19:01.000,2025-11-18 10:24:01.000
1982,CUST-003621,2025-11-18 10:19:19.000,2025-11-18 10:27:19.000
1734,CUST-003778,2025-11-18 10:19:36.000,2025-11-18 10:24:36.000
1834,CUST-003875,2025-11-18 10:20:05.000,2025-11-18 10:28:05.000
2026,CUST-003603,2025-11-18 10:20:11.000,2025-11-18 10:26:11.000
1015,CUST-005299,2025-11-18 10:21:00.000,2025-11-18 10:26:00.000
1980,CUST-003927,2025-11-18 10:21:14.000,2025-11-18 10:26:14.000
1664,CUST-003997,2025-11-18 10:21:27.000,2025-11-18 10:26:27.000
2628,CUST-003685,2025-11-18 10:21:30.000,2025-11-18 10:33:30.000
2291,CUST-003878,2025-11-18 10:22:07.000,2025-11-18 10:36:07.000
1228,CUST-004235,2025-11-18 10:22:09.000,2025-11-18 10:32:09.000
2830,CUST-003757,2025-11-18 10:22:15.000,2025-11-18 10:38:15.000
2267,CUST-003664,2025-11-18 10:22:22.000,2025-11-18 10:27:22.000
1942,CUST-003679,2025-11-18 10:22:47.000,2025-11-18 10:34:47.000
1781,CUST-003688,2025-11-18 10:22:48.000,2025-11-18 10:28:48.000
2054,CUST-003720,2025-11-18 10:23:00.000,2025-11-18 10:35:00.000
1993,CUST-003735,2025-11-18 10:23:38.000,2025-11-18 10:32:38.000
2942,CUST-003912,2025-11-18 10:23:39.000,2025-11-18 10:33:39.000
1651,CUST-003938,2025-11-18 10:24:03.000,2025-11-18 10:40:03.000
2344,CUST-003790,2025-11-18 10:24:03.000,2025-11-18 10:28:03.000
1882,CUST-003914,2025-11-18 10:25:01.000,2025-11-18 10:38:01.000
2245,CUST-003902,2025-11-18 10:25:13.000,2025-11-18 10:38:13.000
1932,CUST-003881,2025-11-18 10:25:35.000,2025-11-18 10:38:35.000
2914,CUST-003853,2025-11-18 10:26:05.000,2025-11-18 10:37:05.000
1974,CUST-003629,2025-11-18 10:26:34.000,2025-11-18 10:35:34.000
1696,CUST-003724,2025-11-18 10:26:48.000,2025-11-18 10:38:48.000
2271,CUST-003937,2025-11-18 10:26:59.000,2025-11-18 10:37:59.000
1741,CUST-003639,2025-11-18 10:27:09.000,2025-11-18 10:36:09.000
1966,CUST-003937,2025-11-18 10:27:29.000,2025-11-18 10:32:29.000
2861,CUST-003714,2025-11-18 10:27:44.000,2025-11-18 10:41:44.000
2715,CUST-003691,2025-11-18 10:28:07.000,2025-11-18 10:42:07.000
2657,CUST-003753,2025-11-18 10:28:18.000,2025-11-18 10:40:18.000
2985,CUST-003618,2025-11-18 10:28:23.000,2025-11-18 10:42:23.000
2175,CUST-003845,2025-11-18 10:28:34.000,2025-11-18 10:41:34.000
1639,CUST-003881,2025-11-18 10:28:48.000,2025-11-18 10:39:48.000
1751,CUST-003622,2025-11-18 10:29:44.000,2025-11-18 10:34:44.000
1875,CUST-003638,2025-11-18 10:29:49.000,2025-11-18 10:36:49.000
2087,CUST-003747,2025-11-18 10:29:59.000,2025-11-18 10:42:59.000
2605,CUST-003958,2025-11-18 10:30:32.000,2025-11-18 10:46:32.000
2746,CUST-003922,2025-11-18 10:30:39.000,2025-11-18 10:42:39.000
2540,CUST-003895,2025-11-18 10:30:48.000,2025-11-18 10:44:48.000
1824,CUST-003655,2025-11-18 10:30:49.000,2025-11-18 10:34:49.000
2385,CUST-003667,2025-11-18 10:30:58.000,2025-11-18 10:35:58.000
1736,CUST-003627,2025-11-18 10:31:01.000,2025-11-18 10:40:01.000
2697,CUST-003958,2025-11-18 10:31:40.000,2025-11-18 10:44:40.000
1787,CUST-003881,2025-11-18 10:32:38.000,2025-11-18 10:48:38.000
1461,CUST-000965,2025-11-18 10:33:00.000,2025-11-18 10:38:00.000
2636,CUST-003819,2025-11-18 10:33:01.000,2025-11-18 10:46:01.000
1965,CUST-003928,2025-11-18 10:33:10.000,2025-11-18 10:42:10.000
1715,CUST-003868,2025-11-18 10:33:51.000,2025-11-18 10:46:51.000
1763,CUST-003827,2025-11-18 10:33:53.000,2025-11-18 10:49:53.000
1731,CUST-003909,2025-11-18 10:34:17.000,2025-11-18 10:49:17.000
1759,CUST-003709,2025-11-18 10:34:35.000,2025-11-18 10:49:35.000
2360,CUST-003833,2025-11-18 10:34:35.000,2025-11-18 10:43:35.000
2627,CUST-003754,2025-11-18 10:34:42.000,2025-11-18 10:50:42.000
1997,CUST-003915,2025-11-18 10:34:55.000,2025-11-18 10:44:55.000
1094,CUST-001106,2025-11-18 10:35:00.000,2025-11-18 10:47:00.000
2505,CUST-003861,2025-11-18 10:35:11.000,2025-11-18 10:43:11.000
2422,CUST-003899,2025-11-18 10:35:25.000,2025-11-18 10:49:25.000
1771,CUST-003797,2025-11-18 10:35:27.000,2025-11-18 10:42:27.000
2544,CUST-003633,2025-11-18 10:35:28.000,2025-11-18 10:47:28.000
2328,CUST-003792,2025-11-18 10:35:30.000,2025-11-18 10:50:30.000
1180,CUST-002012,2025-11-18 10:35:32.000,2025-11-18 10:46:32.000
2978,CUST-003959,2025-11-18 10:35:51.000,2025-11-18 10:50:51.000
2444,CUST-003875,2025-11-18 10:36:10.000,2025-11-18 10:41:10.000
