"customer_id","customer_name","service_plan","service_address","provisioned_bandwidth_down_mbps","provisioned_bandwidth_up_mbps","router_serial_number","account_status","email","location","created_at","updated_at","contact_phone","multi_site","subscription_tier","industry"
CUST-001122,Acme Group,Basic Internet,"3476 Martin Forges, Tampa, FL 33610",100,20,RT-FTR001122,Pending,support1122@conway-smith.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001123,Innovative Consulting Enterprises,Standard Internet,"3882 Joseph Land Suite 148, Tampa, FL 33615",300,50,RT-HPE001123,Pending,support1123@francis-smith.org,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001124,Innovative Associates,Business Standard,"44389 Courtney Pines, Tampa, FL 33604",500,100,RT-HPE001124,Pending,support1124@hernandez.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001125,Prime Corp,Business Elite,"507 Jacob Street Suite 644, Tampa, FL 33606",2000,500,RT-FTR001125,Active,support1125@gonzalez.org,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001126,Innovative Services,Business Elite,"67933 Williams Junction Suite 738, Tampa, FL 33611",2000,500,RT-HPE001126,Inactive,support1126@snyder-jordan.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001127,Advanced Consulting Services,Enterprise Plus,"119 Jesse Way, Tampa, FL 33601",5000,1000,RT-FTR001127,Pending,support1127@harris.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001128,Regional Tech Associates,Business Elite,"87233 Nathan Camp, Tampa, FL 33611",2000,500,RT-CIS001128,Cancelled,support1128@smith-matthews.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001129,Prime Technologies,Basic Internet,"973 Matthew Freeway Apt. 149, Tampa, FL 33603",100,20,RT-CIS001129,Suspended,support1129@francis.info,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001130,Smart Group,Business Standard,"207 Laura Isle Apt. 189, Tampa, FL 33603",500,100,RT-JNP001130,Active,support1130@buckley.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001131,Metro Group,Business Premium,"557 Anthony Court Apt. 432, Tampa, FL 33616",1000,250,RT-HPE001131,Suspended,support1131@young.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001132,Local LLC,Basic Internet,"32470 Perez Dale, Tampa, FL 33618",100,20,RT-FTR001132,Pending,support1132@wilson.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001133,Acme Tech Corp,Standard Internet,"462 Martha Estate Suite 602, Tampa, FL 33608",300,50,RT-CIS001133,Cancelled,support1133@johnson-thompson.biz,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001134,Tech Consulting Technologies,Basic Internet,"23126 Ryan Squares, Tampa, FL 33602",100,20,RT-JNP001134,Pending,support1134@adams.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001135,United Technologies,Enterprise Plus,"2989 Stephanie Manors Apt. 974, Tampa, FL 33613",5000,1000,RT-JNP001135,Cancelled,support1135@green-lewis.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001136,National Media Corp,Enterprise Plus,"4687 Nancy Crescent, Tampa, FL 33601",5000,1000,RT-CIS001136,Inactive,support1136@martinez.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001137,Tech Retail Associates,Standard Internet,"769 Brian Falls, Tampa, FL 33602",300,50,RT-FTR001137,Inactive,support1137@liu.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001138,Elite Financial LLC,Business Elite,"88158 Jordan Isle, Tampa, FL 33612",2000,500,RT-FTR001138,Inactive,support1138@taylor.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001139,Metro Group,Business Standard,"18297 Robert Roads, Tampa, FL 33610",500,100,RT-CIS001139,Suspended,support1139@miller.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001140,Smart Solutions,Business Standard,"00000 Marcus Throughway Apt. 137, Tampa, FL 33620",500,100,RT-HPE001140,Active,support1140@gonzales.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001141,Innovative Enterprises,Business Standard,"902 Edwards Spring, Tampa, FL 33621",500,100,RT-HPE001141,Suspended,support1141@norton.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001142,Acme Inc,Basic Internet,"2182 Mitchell Pike Apt. 224, Tampa, FL 33606",100,20,RT-CIS001142,Suspended,support1142@howell.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001143,National Associates,Enterprise Plus,"0090 Ebony Gardens Suite 551, Tampa, FL 33619",5000,1000,RT-CIS001143,Inactive,support1143@ramsey-hill.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001144,Innovative Partners,Business Standard,"9136 Lauren Pass Apt. 550, Tampa, FL 33610",500,100,RT-CIS001144,Inactive,support1144@collins-jackson.org,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001145,Metro Corp,Standard Internet,"080 Brown Fords Apt. 699, Tampa, FL 33609",300,50,RT-CIS001145,Suspended,support1145@stevens.org,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001146,Innovative Logistics Services,Standard Internet,"10401 King Pines, Tampa, FL 33611",300,50,RT-HPE001146,Cancelled,support1146@zamora.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001147,Elite Technologies,Standard Internet,"428 Jimenez Gateway Apt. 638, Tampa, FL 33620",300,50,RT-JNP001147,Suspended,support1147@brown.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001148,Global Legal Corp,Business Elite,"694 Aimee Rue, Tampa, FL 33603",2000,500,RT-FTR001148,Pending,support1148@estrada.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001149,Innovative Enterprises,Business Standard,"2586 Dalton Tunnel, Tampa, FL 33601",500,100,RT-CIS001149,Active,support1149@miller-marks.biz,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001150,Tech Logistics Services,Business Standard,"625 Todd Way Apt. 263, Tampa, FL 33602",500,100,RT-FTR001150,Pending,support1150@lowe.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001151,Acme Corp,Enterprise Plus,"017 Parker Turnpike, Tampa, FL 33614",5000,1000,RT-FTR001151,Pending,support1151@roy-palmer.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001152,Innovative Industries,Business Standard,"15388 Maria Harbor, Tampa, FL 33605",500,100,RT-FTR001152,Active,support1152@swanson-anderson.org,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001153,Acme Associates,Standard Internet,"504 Victoria Highway, Tampa, FL 33616",300,50,RT-CIS001153,Cancelled,support1153@harris.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001154,Metro Corp,Enterprise Plus,"84951 Chandler Valley Apt. 111, Tampa, FL 33619",5000,1000,RT-HPE001154,Active,support1154@greene.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001155,Prime Group,Enterprise Plus,"339 Crystal Flat, Tampa, FL 33625",5000,1000,RT-HPE001155,Active,support1155@robinson-sullivan.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001156,Advanced Consulting Corp,Business Premium,"60119 Chang Islands, Tampa, FL 33602",1000,250,RT-FTR001156,Active,support1156@davis-yu.biz,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001157,Digital  Solutions,Enterprise Plus,"23009 Matthew Mall, Tampa, FL 33609",5000,1000,RT-FTR001157,Pending,support1157@dunn.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001158,National Corp,Standard Internet,"65774 Morrow Ranch, Tampa, FL 33607",300,50,RT-FTR001158,Inactive,support1158@horne.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001159,National Industries,Business Elite,"5952 Charles Rapids, Tampa, FL 33614",2000,500,RT-FTR001159,Pending,support1159@stokes.org,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001160,City Systems,Basic Internet,"84336 Cooper Burg Apt. 632, Tampa, FL 33612",100,20,RT-CIS001160,Pending,support1160@moore.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001161,National Retail Associates,Business Standard,"74556 Christopher Camp, Tampa, FL 33622",500,100,RT-JNP001161,Cancelled,support1161@reese.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001162,Advanced Services,Business Elite,"050 Young Locks Suite 608, Tampa, FL 33606",2000,500,RT-JNP001162,Suspended,support1162@davis.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001163,United Manufacturing Inc,Business Premium,"08356 Wilkerson Corners, Tampa, FL 33622",1000,250,RT-JNP001163,Suspended,support1163@hughes.info,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001164,United Company,Business Standard,"3123 Merritt Knolls, Tampa, FL 33611",500,100,RT-CIS001164,Active,support1164@roth.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001165,Elite Consulting Enterprises,Business Elite,"9177 Hines Row, Tampa, FL 33611",2000,500,RT-JNP001165,Inactive,support1165@howell.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001166,Prime Consulting Company,Enterprise Plus,"013 Kemp Avenue Suite 354, Tampa, FL 33621",5000,1000,RT-CIS001166,Cancelled,support1166@woods.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001167,Elite Technologies,Business Premium,"0335 Brian Shores, Tampa, FL 33603",1000,250,RT-FTR001167,Inactive,support1167@hayes-benson.org,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001168,Acme Technologies,Business Elite,"599 Linda Heights, Tampa, FL 33604",2000,500,RT-CIS001168,Suspended,support1168@white.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001169,Regional Inc,Enterprise Plus,"9996 Kane Shoals, Tampa, FL 33622",5000,1000,RT-JNP001169,Pending,support1169@greer-may.org,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001170,Metro Financial Enterprises,Business Premium,"84285 Walsh Port Apt. 259, Tampa, FL 33618",1000,250,RT-JNP001170,Cancelled,support1170@phillips.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001171,Tech Consulting Associates,Basic Internet,"31234 Kimberly Meadows, Tampa, FL 33624",100,20,RT-CIS001171,Active,support1171@elliott-yu.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001172,Innovative Inc,Basic Internet,"087 Raymond Crest Suite 607, Tampa, FL 33617",100,20,RT-JNP001172,Suspended,support1172@curry.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001173,Local Partners,Business Standard,"935 Santos Pike, Tampa, FL 33613",500,100,RT-FTR001173,Suspended,support1173@sandoval.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001174,Acme Industries,Basic Internet,"56129 Peterson Plaza Apt. 695, Tampa, FL 33601",100,20,RT-CIS001174,Active,support1174@rhodes.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001175,Innovative Retail Partners,Business Standard,"656 Sandra Forge Apt. 876, Tampa, FL 33603",500,100,RT-HPE001175,Active,support1175@powers.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001176,Digital Services,Business Elite,"595 Johnathan Fields, Tampa, FL 33624",2000,500,RT-CIS001176,Pending,support1176@ross-hernandez.org,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001177,City Legal Enterprises,Business Elite,"400 Timothy Fork Apt. 086, Tampa, FL 33614",2000,500,RT-FTR001177,Cancelled,support1177@myers.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001178,Smart Solutions,Business Premium,"8311 Lisa Isle, Tampa, FL 33602",1000,250,RT-HPE001178,Cancelled,support1178@williams.biz,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001179,Advanced Retail Partners,Basic Internet,"414 Michaela Islands, Tampa, FL 33618",100,20,RT-HPE001179,Active,support1179@chavez.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001180,Innovative Construction Solutions,Basic Internet,"762 Jessica Forges, Tampa, FL 33613",100,20,RT-FTR001180,Active,support1180@ramirez.info,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001181,Local Construction Group,Enterprise Plus,"2072 Hines Loop Apt. 925, Tampa, FL 33608",5000,1000,RT-JNP001181,Suspended,support1181@peters.info,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001182,Acme Technologies,Business Premium,"0299 Kayla Greens Apt. 688, Tampa, FL 33620",1000,250,RT-HPE001182,Suspended,support1182@jones-lee.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001183,Global LLC,Business Premium,"12552 Melvin Locks Apt. 781, Tampa, FL 33620",1000,250,RT-FTR001183,Inactive,support1183@smith-atkinson.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001184,Metro Solutions,Basic Internet,"92061 Karen Freeway, Tampa, FL 33615",100,20,RT-HPE001184,Inactive,support1184@petty.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001185,Acme Inc,Enterprise Plus,"1337 Patricia Plains Suite 449, Tampa, FL 33621",5000,1000,RT-HPE001185,Suspended,support1185@barber.org,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001186,Local Solutions,Business Standard,"26480 Ryan Haven Apt. 373, Tampa, FL 33615",500,100,RT-JNP001186,Cancelled,support1186@wright.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001187,Prime Financial Systems,Enterprise Plus,"7822 Alexis Estates, Tampa, FL 33604",5000,1000,RT-HPE001187,Suspended,support1187@davis.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001188,Regional Consulting Company,Business Premium,"34862 Navarro Overpass, Tampa, FL 33601",1000,250,RT-HPE001188,Active,support1188@mcdaniel.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001189,Tech Partners,Standard Internet,"82856 Matthew Ports, Tampa, FL 33610",300,50,RT-HPE001189,Suspended,support1189@moyer-johnson.org,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001190,Regional Media LLC,Business Premium,"1770 Valencia Parks Apt. 682, Tampa, FL 33624",1000,250,RT-CIS001190,Suspended,support1190@diaz.biz,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001191,City Systems,Business Elite,"22355 Christopher Lock, Tampa, FL 33625",2000,500,RT-JNP001191,Cancelled,support1191@marks.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001192,Metro Marketing Technologies,Enterprise Plus,"46921 Charles Ports Apt. 596, Tampa, FL 33601",5000,1000,RT-FTR001192,Cancelled,support1192@fischer-friedman.net,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001193,Digital Associates,Basic Internet,"69984 Stephanie Crossroad Apt. 509, Tampa, FL 33616",100,20,RT-HPE001193,Active,support1193@blair.org,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001194,Digital Retail Systems,Basic Internet,"424 Mathis Ridge Apt. 145, Tampa, FL 33603",100,20,RT-HPE001194,Inactive,support1194@garrett-romero.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001195,Global Inc,Standard Internet,"52386 Myers Flat Apt. 097, Tampa, FL 33608",300,50,RT-CIS001195,Suspended,support1195@james-miller.org,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001196,Metro Solutions,Enterprise Plus,"779 Cruz Drive, Tampa, FL 33615",5000,1000,RT-HPE001196,Active,support1196@andrews.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
